feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
garagetype_Attchd,3.461390498462174e-10,,3.461390498462174e-10,1,0.016844293810212248,0.04344676980121909,-6.779496106901206e-05,147.0,51.0,61.0,227.0,121.5,176.0
exterior2nd_CmentBd,3.0726185155377017e-10,,3.0726185155377017e-10,1,0.002849484951963128,0.035062208404282647,0.0,148.0,145.0,72.0,157.5,130.625,85.5
exterior1st_CemntBd,2.382586320284233e-10,,2.382586320284233e-10,1,0.0029308317282995943,0.019540299378691728,-0.0001901458002976142,149.0,141.0,106.0,230.0,156.5,124.0
bldgtype_Duplex,2.0561482420425154e-10,,2.0561482420425154e-10,1,0.004405820140173379,0.005426634436326738,0.0004035657868371345,150.0,115.0,174.0,85.0,131.0,89.0
neighborhood_NWAmes,1.8682283670356934e-10,,1.8682283670356934e-10,1,0.0032403410604363845,0.020977921198235938,0.0,151.0,137.0,101.0,157.5,136.625,56.5
garagetype_Detchd,1.6776152278085184e-10,,1.6776152278085184e-10,1,0.016917331907687377,0.10934833353174467,0.0,152.0,50.0,29.0,157.5,97.125,128.5
fireplacequ_TA,1.602896848591038e-10,,1.602896848591038e-10,1,0.012303041582930664,0.05698278318023431,0.0,153.0,61.0,52.0,157.5,105.875,105.5
housestyle_2.5Unf,1.5781393111544236e-10,,1.5781393111544236e-10,1,0.0012513967742786725,0.009527722459481192,0.0,154.0,193.0,156.0,157.5,165.125,39.0
garagecond_TA,1.4726473243148642e-10,,1.4726473243148642e-10,1,0.004027069680577937,0.013470974621699883,0.0,155.0,121.0,129.0,157.5,140.625,36.5
bsmtfintype2_Unf,1.397700950183025e-10,,1.397700950183025e-10,1,0.008016126156649905,0.015891221829535507,0.0,156.0,90.0,116.0,157.5,129.875,67.5
